r,method,parameter,Estimate,Std. Error,t value,Pr(>|t|)
Western Africa,PORT,nu,1.0437427933226275,0.8103693692159757,1.2879840144160908,0.197751527833095
Western Africa,Newton,gamma,1.0531007943558246,132.8842063980393,0.00792495077407004,0.9936768703195125
Western Africa,Newton,lambda,-2.14442332959598e-5,0.062397900699351944,-3.4366914680805145e-4,0.9997257916991353
Western Africa,Newton,delta_1,0.5967915396905846,2.9703105077544163,0.20091890667072543,0.8407619837772748
Western Africa,Newton,delta,0.4080750682539588,1.418635334398158,0.28765325264302727,0.7736121771195481
Western Africa,Newton,rho_1,0.75,16.98335646931574,0.04416088194080151,0.9647761633040802
Western Africa,Newton,rho,-0.99,8.012739096601303,-0.12355325539301787,0.9016690055885646
Western Africa,Newton,nu,1.0755411473869656,2.3099361670713465,0.4656150947887841,0.6414910363101161
Western Africa,L-BFGS-B,gamma,0.9325438634594648,97.45462538829157,0.009569005675655728,0.9923651546245464
Western Africa,L-BFGS-B,lambda,5.6907736512744424e-5,0.051678682411092254,0.0011011839671154196,0.9991213824916044
Western Africa,L-BFGS-B,delta_1,0.04140489898899948,0.12763849872254174,0.32439193036111075,0.7456413283632447
Western Africa,L-BFGS-B,delta,0.5008235200933301,0.7033342681786406,0.7120704091246204,0.47642117701100206
Western Africa,L-BFGS-B,rho_1,1.75,2.05235402077054,0.8526794024273533,0.39383711633247415
Western Africa,L-BFGS-B,rho,6,14.505852571669573,0.4136261533305671,0.679147916645459
Western Africa,L-BFGS-B,nu,1.4596850647163249,1.9640150231133464,0.7432148163522903,0.4573516344845361
