r,method,invalid_reason,rss,R2,adjR2,iter,conv,message,gamma,p_gamma,lambda,p_lambda,delta_KL,p_delta_KL,delta_VAE,p_delta_VAE,nu,p_nu,rho_KL,rho_VAE,sigma_KL,sigma_VAE,AIC_naive,BIC_naive,AICc_naive,AIC_plusRho,BIC_plusRho,AICc_plusRho,runtime,on_edge_KL,on_edge_VAE,valid
Levant,LM,no_convergence|NA|NA|NA|NA|NA|NA|NA,0.00290715491104793,0.9984634303522204,0.99774636451659,1024,FALSE,Number of iterations has reached `maxiter' == 1024.,3.461501671629799e-20,0.8780825818685928,0.02214467460961517,6.519287810047727e-12,0.4521109291568792,0.06376448490356938,0.5401013543485462,0.01957162593662786,0.562452844064718,1.1848698874754512e-4,1.11,7,0.4739336492890995,0.125,-192.4497154729441,-184.50125596144,-184.9830488062774,-188.4497154729441,-178.2302675295817,-174.60356162679022,17310.035131931305,FALSE,FALSE,FALSE
Levant,PORT,no_convergence|NA|NA|NA|NA|NA|NA|NA,0.00310621734538484,0.9983582163873737,0.9975920507014814,1584,FALSE,false convergence (8),7.954328598888556e-19,0.8808709906477601,0.02059283786946517,4.400813187017101e-10,0.6552428792580628,0.0673501801288528,0.4241669703740135,0.03877710677399891,0.5939194129013432,5.0349391653958914e-5,-0.18000000000000005,5,1.2195121951219512,0.16666666666666666,-190.92640732308584,-182.9779478115818,-183.45974065641917,-186.92640732308584,-176.7069593797235,-173.080253476932,2757.4670720100403,FALSE,FALSE,FALSE
Mexico,LM,no_convergence|bad_delta_KL|NA|NA|NA|NA|NA|NA,0.00427897986478552,0.983749225742461,0.9761655310889428,1024,FALSE,Number of iterations has reached `maxiter' == 1024.,8.243369858351429e-25,0.9496457764980406,0.0274315523837776,4.613579166805515e-4,-1.8932503166146428,0.19471634626260165,0.7943842169673335,3.5689196173568444e-4,-0.6123114888389786,0.08733950052053242,3.5,0.02000000000000001,0.2222222222222222,0.9803921568627452,-183.55930185075903,-175.610842339255,-176.09263518409236,-179.55930185075903,-169.33985390739667,-165.7131480046052,6709.817672014236,FALSE,FALSE,FALSE
Mexico,PORT,NA|NA|bad_delta_VAE|NA|NA|NA|rho_KL_on_edge|NA,0.00775239051124008,0.9705578544102906,0.9568181864684264,846,TRUE,relative convergence (4),1.4016350250583824e-9,0.8266130174522734,0.01007973615322082,7.93423609877106e-6,0.9968543267241464,4.0532383466694946e-49,1,0.02555092172919145,0.3073489433540667,0.00344044157650291,40,-0.20000000000000007,0.02439024390243902,1.25,-169.89070965902718,-161.94225014752314,-162.4240429923605,-165.89070965902718,-155.67126171566483,-152.04455581287334,6949.217574834824,TRUE,FALSE,FALSE
Middle Africa,LM,NA|bad_delta_KL|NA|NA|NA|NA|NA|NA,0.0288664875480783,0.9860623476901432,0.9795581099455434,454,TRUE,Relative error between `par' and the solution is at most `ptol'.,2.0303656757896754e-23,0.9852015953517472,0.02587762372802091,0.33161426312403125,-6.445258605010092,0.9626083479087898,0.9999999839850674,0,-0.04657686375394776,0.9622530352557414,0.07999999999999996,1.81,0.9259259259259258,0.35587188612099646,-139.6530679804303,-131.70460846892627,-132.18640131376364,-135.6530679804303,-125.43362003706795,-121.80691413427648,13640.19088602066,FALSE,FALSE,FALSE
Non-EU Europe,NM,NA|bad_delta_KL|NA|NA|NA|NA|NA|NA,0.01214597444470582,0.9705979999630194,0.9568770666124286,551,TRUE,NA,0.00191461369461069,0.8834975415043482,0.0031058187931758,0.35738333919870596,1.068715934497923,3.985295732345599e-4,0.2882025813879285,0.441943595493716,0.6881914950232073,1.6097970908329443e-6,-0.72,2.71,3.571428571428571,0.2695417789757412,-159.56378913328533,-151.61532962178129,-152.09712246661866,-155.56378913328533,-145.34434118992297,-141.7176352871315,260.88280987739563,FALSE,FALSE,FALSE
Non-EU Europe,Nelder-Mead,NA|bad_delta_KL|NA|NA|NA|NA|NA|NA,0.01214597444470582,0.9705979999630194,0.9568770666124286,551,TRUE,NA,0.00191461369461069,0.8834975415043482,0.0031058187931758,0.35738333919870596,1.068715934497923,3.985295732345599e-4,0.2882025813879285,0.441943595493716,0.6881914950232073,1.6097970908329443e-6,-0.72,2.71,3.571428571428571,0.2695417789757412,-159.56378913328533,-151.61532962178129,-152.09712246661866,-155.56378913328533,-145.34434118992297,-141.7176352871315,259.8886489868164,FALSE,FALSE,FALSE
Northern Africa,LM,no_convergence|NA|bad_delta_VAE|NA|NA|NA|NA|NA,0.00400651083461084,0.9964223379107514,0.994752762269102,1024,FALSE,Number of iterations has reached `maxiter' == 1024.,3.082249646362312e-23,0.7875423506932122,0.02563313370076688,3.0588176367952277e-44,0.00153076810896409,0.796790167964777,1.0564962430023126,4.3745840194491713e-14,0.2756402100456326,5.653598377551067e-5,17.5,17.5,0.05405405405405406,0.05405405405405406,-185.07256121367524,-177.1241017021712,-177.60589454700855,-181.07256121367524,-170.8531132703129,-167.2264073675214,11171.883143901823,FALSE,FALSE,FALSE
Northern Africa,PORT,no_convergence|NA|NA|NA|NA|NA|NA|NA,0.00515008380872977,0.9954011706545816,0.9932550502933862,1941,FALSE,false convergence (8),9.679503002102152e-21,0.815530219567373,0.02278683972237512,6.782565334940749e-27,2.6405270337478693e-5,0.9793243806136638,0.8998294161451548,0.03836009166756923,0.347407769827195,3.866990766647315e-5,30,0.30000000000000004,0.03225806451612903,0.7692307692307692,-179.29743965705072,-171.34898014554668,-171.83077299038405,-175.29743965705072,-165.07799171368836,-161.45128581089688,7105.334892988205,FALSE,FALSE,FALSE
Peninsular West Asia,LM,no_convergence|NA|bad_delta_VAE|NA|NA|NA|rho_KL_on_edge|NA,0.00842130860914782,0.9939743899185456,0.9911624385472002,1024,FALSE,Number of iterations has reached `maxiter' == 1024.,3.396487469893029e-9,0.9374268666046028,0.00963414803030951,0.12651233253375463,0.14826519665871868,0.1643906522683622,1.0037642733239962,5.272065981204309e-32,0.8480299164405692,3.0229763031986592e-5,-0.9,32,10.000000000000002,0.0303030303030303,-167.98713802530048,-160.03867851379644,-160.5204713586338,-163.98713802530048,-153.76769008193813,-150.14098417914664,10348.096812963486,TRUE,FALSE,FALSE
