r,method,invalid_reason,rss,R2,adjR2,iter,conv,message,gamma,p_gamma,lambda,p_lambda,delta_KL,p_delta_KL,delta_VAE,p_delta_VAE,nu,p_nu,rho_KL,rho_VAE,sigma_KL,sigma_VAE,AIC_naive,BIC_naive,AICc_naive,AIC_plusRho,BIC_plusRho,AICc_plusRho,runtime,on_edge_KL,on_edge_VAE,valid
Canada,LM,NA|NA|NA|NA|NA|NA|rho_KL_on_edge|NA,0.0017542763689597,0.9947252367194952,0.9922636805219264,75,TRUE,Relative error in the sum of squares is at most `ftol'.,5.925392757436966e-12,0.7190588149709345,0.01277552173956922,1.4861488244666064e-20,0.8087311547631352,0.6309741240772714,0.3247356066050408,0.14337783237545443,0.5725664871239915,4.282453985874261e-7,100,-0.2899999999999999,0.0099009900990099,1.408450704225352,-204.06744011324653,-196.1189806017425,-196.60077344657984,-200.06744011324653,-189.84799216988415,-186.2212862670927,1474.399118185043,TRUE,FALSE,FALSE
Canada,NM,NA|NA|NA|NA|NA|NA|rho_KL_on_edge|NA,0.02376087663119976,0.9285557271451028,0.8952150664794841,145,TRUE,NA,0.0175928531776243,0.925289510842771,0.00196379559364984,0.7096129154124091,0.5093516170426724,0.74090588073811,0.5367241081720229,0.19264069005470877,1.0337339569950077,0.02607370403826302,100,0.41000000000000014,0.0099009900990099,0.7092198581560283,-144.12980943443364,-136.1813499229296,-136.66314276776697,-140.12980943443364,-129.91036149107128,-126.2836555882798,115.89199209213255,TRUE,FALSE,FALSE
Canada,Nelder-Mead,NA|NA|NA|NA|NA|NA|rho_KL_on_edge|NA,0.02376087663119976,0.9285557271451028,0.8952150664794841,145,TRUE,NA,0.0175928531776243,0.925289510842771,0.00196379559364984,0.7096129154124091,0.5093516170426724,0.74090588073811,0.5367241081720229,0.19264069005470877,1.0337339569950077,0.02607370403826302,100,0.41000000000000014,0.0099009900990099,0.7092198581560283,-144.12980943443364,-136.1813499229296,-136.66314276776697,-140.12980943443364,-129.91036149107128,-126.2836555882798,117.61947894096376,TRUE,FALSE,FALSE
Canada,Newton,NA|NA|NA|NA|NA|NA|NA|rho_VAE_on_edge,0.03411721046777465,0.8974162724910975,0.8495438663202762,2,TRUE,NA,1.0718282320453074,0.9563001982727128,-7.227414810191606e-5,0.9936085445445754,0.4280813729254965,0.35155282911365743,0.4003654629837263,0.8221256876308136,0.9942869670679034,0.2429503526785768,0.01,100,0.99009900990099,0.0099009900990099,-135.80929323929146,-127.86083372778742,-128.3426265726248,-131.80929323929146,-121.58984529592912,-117.96313939313762,102.1504898071289,FALSE,TRUE,FALSE
Caribbean Extended,LM,NA|NA|NA|NA|NA|bad_sigma_VAE|NA|rho_VAE_on_edge,0.00317093822186534,0.9968616331930428,0.9953970620164626,433,TRUE,Relative error in the sum of squares is at most `ftol'.,3.1767806456693817e-10,0.9184530717448336,0.01080909393812031,0.02527173689169818,0.03814979489663552,0.47310442176260953,0.7280038310260105,1.429131203194667e-4,1.5993871341195554,8.247160757804184e-6,2,-0.99,0.3333333333333333,99.99999999999991,-190.45210558070076,-182.50364606919672,-182.9854389140341,-186.45210558070076,-176.2326576373384,-172.60595173454692,3398.094785928726,FALSE,TRUE,FALSE
Caribbean Extended,PORT,no_convergence|NA|NA|NA|NA|NA|NA|NA,0.00323879218432304,0.9967944762165902,0.9952985651176656,1444,FALSE,false convergence (8),9.469532056109635e-11,0.9158239477312704,0.0114079256434346,0.0147863590215078,0.01392998682244257,0.6750536303086423,0.7046402348356422,2.0671781763950236e-4,1.6136544389799967,2.7904956620472136e-6,4,-0.49,0.2,1.96078431372549,-189.96512739615443,-182.0166678846504,-182.49846072948776,-185.96512739615443,-175.74567945279207,-172.1189735500006,879.6634678840637,FALSE,FALSE,FALSE
Caribbean Extended,Newton,NA|NA|NA|NA|NA|NA|NA|rho_VAE_on_edge,0.04020150913995472,0.9602114348982156,0.9416434378507162,2,TRUE,NA,0.930670979543762,0.9641024792942828,-4.295394137805662e-6,0.9996882886169448,0.4496167121401212,0.45649515359290993,0.5768717566541829,0.9346718299007398,0.9600505637315624,0.282168206418086,0.2100000000000002,100,0.8264462809917354,0.0099009900990099,-132.03493406150926,-124.08647455000522,-124.5682673948426,-128.03493406150926,-117.81548611814692,-114.18878021535542,58.70340204238891,FALSE,TRUE,FALSE
Central America,PORT,no_convergence|NA|NA|NA|NA|NA|NA|NA,7.087830249401173e-4,0.999516013456496,0.9992901530695274,337,FALSE,false convergence (8),2.3654388862499077e-13,0.879771425428445,0.01437691929384439,1.0968480538686804e-5,0.23314025826212567,0.00220524670575348,0.978026005658854,7.728111911315109e-71,0.7821770735390648,1.420009313209335e-7,4,26,0.2,0.03703703703703703,-224.91147244973644,-216.9630129382324,-217.44480578306977,-220.91147244973644,-210.69202450637408,-207.0653186035826,1018.3927929401398,FALSE,FALSE,FALSE
Central America,Newton,NA|NA|NA|NA|NA|NA|rho_KL_on_edge|NA,0.02617560082890082,0.9821262105276988,0.973785108773958,3,TRUE,NA,0.929811914457688,0.9491905251977364,2.1151245696570783e-5,0.9978254602975208,0.5991193019442747,0.8081893562486648,0.46035447665653945,0.03246030039417189,1.002804755642534,8.560581902950461e-4,100,6,0.0099009900990099,0.14285714285714285,-141.90370103463064,-133.9552415231266,-134.43703436796395,-137.90370103463064,-127.68425309126827,-124.0575471884768,72.11343789100647,TRUE,FALSE,FALSE
Central Asia Extended,LM,no_convergence|NA|bad_delta_VAE|NA|NA|NA|NA|NA,0.00222726611667385,0.9993905474660888,0.9991061362835968,1024,FALSE,Number of iterations has reached `maxiter' == 1024.,7.241029671035458e-25,0.8044656840986995,0.02747970110779115,5.4012416131840635e-43,1.4159801740680054e-10,0.9795865763376742,1.0001447569916868,0,0.4258789887201287,8.779055988422494e-151,50,50,0.0196078431372549,0.0196078431372549,-198.57691621830932,-190.62845670680528,-191.11024955164265,-194.57691621830932,-184.35746827494697,-180.73076237215548,3034.4113998413086,FALSE,FALSE,FALSE
