r,method,rss,R2,adjR2,iter,conv,message,gamma,p_gamma,lambda,p_lambda,delta_KL,p_delta_KL,delta_VAE,p_delta_VAE,nu,p_nu,rho_KL,rho_VAE,sigma_KL,sigma_VAE,AIC_naive,BIC_naive,AICc_naive,AIC_plusRho,BIC_plusRho,AICc_plusRho,runtime,on_edge_KL,on_edge_VAE,valid,invalid_reason,dAICc,wAICc
Republic of Korea,Newton,0.05653191200506801,0.9545362040713928,0.933319765971376,3,TRUE,NA,1.0086446577231505,0.9668747773227894,-2.7567411118267504e-5,0.9981530895879692,0.5469967044292232,0.6769483697122637,0.5011617302426482,0.9570249733327044,1.0525526523588309,0.01348904074275557,100,100,0.0099009900990099,0.0099009900990099,-124.19421664502092,-116.24575713351688,-116.72754997835426,-120.19421664502092,-109.97476870165858,-106.34806279886708,60.31946301460266,FALSE,FALSE,TRUE,NA,78.10581006956816,1.0953145100254211e-17
Republic of Korea,L-BFGS-B,0.01346905853554684,0.9891679848267706,0.9841130444125968,49,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9386908809667066,0.9289995314419308,1.4121165366606514e-5,0.9979701451774916,0.03486084801943744,0.7005029563187078,0.5211460866114763,0.8579814488863905,1.484387142796087,5.246042349287644e-12,32,90,0.0303030303030303,0.01098901098901099,-157.1856512082349,-149.23719169673086,-149.71898454156823,-153.1856512082349,-142.96620326487255,-139.33949736208106,71.1772129535675,FALSE,FALSE,TRUE,NA,45.11437550635418,1.597856712325804e-10
Republic of Korea,L-BFGS-B,0.01346905853554684,0.9891679848267706,0.9841130444125968,49,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9386908809667066,0.9289995314419308,1.4121165366606514e-5,0.9979701451774916,0.03486084801943744,0.7005029563187078,0.5211460866114763,0.8579814488863905,1.484387142796087,5.246042349287644e-12,32,90,0.0303030303030303,0.01098901098901099,-157.1856512082349,-149.23719169673086,-149.71898454156823,-153.1856512082349,-142.96620326487255,-139.33949736208106,71.1772129535675,FALSE,FALSE,TRUE,NA,45.11437550635418,1.597856712325804e-10
Russia,NM,0.00695939332908168,0.992182075006669,0.9885337100097812,1039,TRUE,NA,2.2173016951472648e-4,0.7964484171940837,0.00417492414178081,0.0293858242376058,0.9277394525982254,0.4637143464078155,0.610901968651095,0.02582839059231424,0.838584801562201,0.2575964630708703,0.81,0.2100000000000002,0.5524861878453039,0.8264462809917354,-172.37261536369584,-164.4241558521918,-164.90594869702915,-168.37261536369584,-158.1531674203335,-154.526461517542,156.2255208492279,FALSE,FALSE,TRUE,NA,22.336468708715813,1.4115139287356512e-5
Russia,Nelder-Mead,0.00695939332908168,0.992182075006669,0.9885337100097812,1039,TRUE,NA,2.2173016951472648e-4,0.7964484171940837,0.00417492414178081,0.0293858242376058,0.9277394525982254,0.4637143464078155,0.610901968651095,0.02582839059231424,0.838584801562201,0.2575964630708703,0.81,0.2100000000000002,0.5524861878453039,0.8264462809917354,-172.37261536369584,-164.4241558521918,-164.90594869702915,-168.37261536369584,-158.1531674203335,-154.526461517542,158.90500712394714,FALSE,FALSE,TRUE,NA,22.336468708715813,1.4115139287356512e-5
Russia,PORT,0.00263515365072259,0.9970397658799994,0.9956583232906658,1226,TRUE,relative convergence (4),2.8079305726539914e-8,0.5506893940506363,0.00860645282990289,2.995676026677624e-25,0.03631031479875529,0.928026588167024,0.7797428541971451,9.596407497453557e-16,0.5098861297728622,1.5875461237487853e-11,60,4,0.01639344262295082,0.2,-194.70908407241168,-186.7606245609076,-187.242417405745,-190.70908407241168,-180.4896361290493,-176.86293022625782,1301.8788430690763,FALSE,FALSE,TRUE,NA,0,0.9999717264881096
Russia,Newton,0.01437570376991746,0.9838508662342856,0.9763146038102856,3,TRUE,NA,1.0573697671273463,0.8327201242709724,-2.0694533446700955e-5,0.9929480881193296,0.47734040191872334,0.8486804934025041,0.4132934439293722,7.418866478880196e-8,1.01992478857225,4.613079657101126e-6,28,2,0.03448275862068965,0.3333333333333333,-155.6873288849363,-147.7388693734323,-148.22066221826964,-151.6873288849363,-141.46788094157395,-137.84117503878247,87.48736190795898,FALSE,FALSE,TRUE,NA,39.02175518747535,3.361408119259111e-9
Russia,L-BFGS-B,0.01231407108807829,0.9861668281160584,0.9797113479035524,17,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9991760606465808,0.8199572506176084,6.6541185488658366e-6,0.9975565620727798,0.5004115093468297,0.8622825633588024,0.500396929024001,5.045547552947341e-12,1.007402557921185,7.47685489200017e-9,40,0.81,0.02439024390243902,0.5524861878453039,-159.24765859629775,-151.2991990847937,-151.78099192963109,-155.24765859629775,-145.0282106529354,-141.40150475014391,91.37996912002563,FALSE,FALSE,TRUE,NA,35.4614254761139,1.9935953795838156e-8
Russia,L-BFGS-B,0.01231407108807829,0.9861668281160584,0.9797113479035524,17,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9991760606465808,0.8199572506176084,6.6541185488658366e-6,0.9975565620727798,0.5004115093468297,0.8622825633588024,0.500396929024001,5.045547552947341e-12,1.007402557921185,7.47685489200017e-9,40,0.81,0.02439024390243902,0.5524861878453039,-159.24765859629775,-151.2991990847937,-151.78099192963109,-155.24765859629775,-145.0282106529354,-141.40150475014391,91.37996912002563,FALSE,FALSE,TRUE,NA,35.4614254761139,1.9935953795838156e-8
South Africa,NM,0.01128555089824816,0.9799772947691252,0.9706333656613836,239,TRUE,NA,0.01561370549063048,0.8850558934803825,0.00204912666493194,0.549188846943695,0.380001487294048,4.552250897765936e-5,0.6739400691128166,0.9948634827966922,0.9913457668156244,4.088552728841709e-6,0.91,100,0.5235602094240838,0.0099009900990099,-161.25370418642024,-153.3052446749162,-153.78703751975357,-157.25370418642024,-147.03425624305788,-143.4075503402664,120.62599515914916,FALSE,FALSE,TRUE,NA,0,0.402932348314354
