r,method,rss,R2,adjR2,iter,conv,message,gamma,p_gamma,lambda,p_lambda,delta_KL,p_delta_KL,delta_VAE,p_delta_VAE,nu,p_nu,rho_KL,rho_VAE,sigma_KL,sigma_VAE,AIC_naive,BIC_naive,AICc_naive,AIC_plusRho,BIC_plusRho,AICc_plusRho,runtime,dAICc,wAICc
Australia and New Zealand,Newton,0.026939827871117376,0.9633235036993163,0.9462078054256639,2,TRUE,,0.9237625051637973,0.9813815746670304,1.6462634606794617e-5,0.9993801846450289,0.4498295942840907,0.3808710126651625,0.4178420305466746,0.9621350599882796,1.0583305262584237,0.36768093380238553,-0.99,92,99.99999999999991,0.010752688172043012,-141.24180540571186,-133.29334589420782,-133.7751387390452,-137.24180540571186,-127.0223574623495,-123.39565155955802,6.861104965209961,87.83199166540558,8.366905952211322e-20
Australia and New Zealand,CG,0.002089250195848511,0.9971556471167585,0.9958282824379125,2233,FALSE,,0.9746100195457655,0.9336087137165866,1.3216914764779116e-5,0.9982235268781716,0.03220005367197638,0.5302997760038659,0.9117321754363283,0.0038986551645466246,1.4630820817815011,1.4294618689892623e-5,0.010000000000000009,12,0.9900990099009901,0.07692307692307693,-200.0482177792289,-192.09975826772487,-192.58155111256224,-196.0482177792289,-185.82876983586655,-182.20206393307507,218.753977060318,29.025579291888533,4.922832788154931e-7
Australia and New Zealand,CG,0.002089250195848511,0.9971556471167585,0.9958282824379125,501,FALSE,,0.9746100195457655,0.9336087137165866,1.3216914764779116e-5,0.9982235268781716,0.03220005367197638,0.5302997760038659,0.9117321754363283,0.0038986551645466246,1.4630820817815011,1.4294618689892623e-5,0.010000000000000009,12,0.9900990099009901,0.07692307692307693,-200.0482177792289,-192.09975826772487,-192.58155111256224,-196.0482177792289,-185.82876983586655,-182.20206393307507,218.753977060318,29.025579291888533,4.922832788154931e-7
Australia and New Zealand,L-BFGS-B,0.0019912077881904097,0.9972891242873992,0.9960240489548522,38,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9484251801422932,0.9325763843594838,2.285421125292019e-5,0.9968805830750899,0.05115919580536116,0.08712487598274189,0.5331764614748535,0.6641153008321303,1.4122112484054568,1.0662609920079137e-5,0.51,92,0.6622516556291391,0.010752688172043012,-201.1536865654831,-193.20522705397906,-193.68701989881643,-197.1536865654831,-186.93423862212074,-183.30753271932926,4.962148904800415,27.92011050563434,8.555877963813903e-7
Australia and New Zealand,L-BFGS-B,0.0019912077881904097,0.9972891242873992,0.9960240489548522,38,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9484251801422932,0.9325763843594838,2.285421125292019e-5,0.9968805830750899,0.05115919580536116,0.08712487598274189,0.5331764614748535,0.6641153008321303,1.4122112484054568,1.0662609920079137e-5,0.51,92,0.6622516556291391,0.010752688172043012,-201.1536865654831,-193.20522705397906,-193.68701989881643,-197.1536865654831,-186.93423862212074,-183.30753271932926,4.962148904800415,27.92011050563434,8.555877963813903e-7
Brazil,LM,0.0024808037636881285,0.9956295589279884,0.9935900197610497,1024,FALSE,Number of iterations has reached `maxiter' == 1024.,0.03399486132433897,0.818636407883053,0.0016825770100020229,0.4357237981407925,0.2911127650417082,9.939551434903494e-25,0.9999642765041314,0,1.2872402634864653,1.0840508655397791e-39,-0.49,22,1.9607843137254901,0.043478260869565216,-196.09733844657566,-188.14887893507162,-188.630671779909,-192.09733844657566,-181.8778905032133,-178.25118460042182,153.09886288642883,3.2174367694057935,0.1667666080324106
Brazil,NM,0.011904817593031039,0.9790272392661807,0.9692399509237317,311,TRUE,,0.022198504816395678,0.9497930254109493,0.0018959714460480013,0.8092934560231096,0.6896446184471365,0.007486440761624839,0.7145761759342539,5.414601051440735e-4,0.7991836091330378,0.018510118252573465,0.51,-0.74,0.6622516556291391,3.846153846153846,-160.02504575028232,-152.07658623877828,-152.55837908361565,-156.02504575028232,-145.80559780691996,-142.17889190412848,12.645565032958984,39.28972946569914,2.4496851057944504e-9
Brazil,Nelder-Mead,0.011904817593031039,0.9790272392661807,0.9692399509237317,311,TRUE,,0.022198504816395678,0.9497930254109493,0.0018959714460480013,0.8092934560231096,0.6896446184471365,0.007486440761624839,0.7145761759342539,5.414601051440735e-4,0.7991836091330378,0.018510118252573465,0.51,-0.74,0.6622516556291391,3.846153846153846,-160.02504575028232,-152.07658623877828,-152.55837908361565,-156.02504575028232,-145.80559780691996,-142.17889190412848,12.574098110198975,39.28972946569914,2.4496851057944504e-9
Brazil,PORT,0.002156947549583026,0.9962000976059235,0.9944268098220211,3281,TRUE,relative convergence (4),22.605836366969047,0.8547334485385936,-0.0015342415487445396,0.5702576142002633,0.27626387550038717,2.1005347327755014e-23,0.997219200966499,0,1.4085462526281793,3.117073300485537e-40,0.010000000000000009,12,0.9900990099009901,0.07692307692307693,-199.31477521598146,-191.36631570447742,-191.8481085493148,-195.31477521598146,-185.0953272726191,-181.46862136982762,480.80276679992676,0,0.8332332899607887
Brazil,Newton,0.08726041967273307,0.8462729992267837,0.7745337321992827,2,TRUE,,1.076701783387457,0.9807704879402983,1.9387793271648208e-5,0.999246311711766,0.5019784118701386,0.34559429464065355,0.48116072914324703,0.32872057724072345,1.0660908933724491,0.23937118024429072,-0.99,-0.99,99.99999999999991,99.99999999999991,-114.21010790884671,-106.26164839734267,-106.74344124218004,-110.21010790884671,-99.99065996548435,-96.36395406269287,4.204607009887695,85.10466730713475,2.757546947184976e-19
