r,t,residuals
Republic of Korea,12,0.004419734281793878
Republic of Korea,13,0.006361452873293018
Republic of Korea,14,0.010488681560075153
Republic of Korea,15,0.032818459848387535
Republic of Korea,16,0.009558190096997154
Republic of Korea,17,4.406423620867961e-4
Republic of Korea,18,-0.01156398531518385
Republic of Korea,19,-0.00912406851949249
Republic of Korea,20,0.002991607657708173
Republic of Korea,21,-0.01291359688340013
Republic of Korea,22,-0.015390373986498895
Republic of Korea,23,0.0022605052503397727
Russia,1,0.0023903612232222815
Russia,2,-0.0164828402030866
Russia,3,0.009646127144477157
Russia,4,3.0795817127038383e-4
Russia,5,0.0033878894665305137
Russia,6,0.008857171074594744
Russia,7,0.001850255251013927
Russia,8,-3.5605975711876036e-4
Russia,9,0.006839708507464064
Russia,10,-0.022695042480075565
Russia,11,-0.012193769728689567
Russia,12,-0.010675983492468948
Russia,13,2.8451529771816864e-4
Russia,14,0.007320829871770268
Russia,15,0.009078248845573844
Russia,16,0.017370170673572827
Russia,17,0.004891342448451047
Russia,18,-0.005583978541927159
Russia,19,0.006210403391072733
Russia,20,0.012978486612639811
Russia,21,-0.007432521751742305
Russia,22,0.008712317668388259
Russia,23,-0.02470551402962845
South Africa,1,-0.0069004456483321985
South Africa,2,-0.0031592596106012616
South Africa,3,0.013350773238453406
South Africa,4,2.2019940595419119e-4
South Africa,5,-0.001919093167035646
South Africa,6,2.3746085631665137e-4
South Africa,7,0.002153102886865099
South Africa,8,0.005596607825664707
South Africa,9,-0.0137795406788469
South Africa,10,-0.009345685167555379
South Africa,11,0.005304816809799411
South Africa,12,-0.002027860455742006
South Africa,13,0.006062643978523942
South Africa,14,0.0046593048963312345
South Africa,15,0.008564394322503194
South Africa,16,-0.003183982807210828
South Africa,17,-0.005938400021587256
South Africa,18,-4.7043172921470977e-4
South Africa,19,0.013552830914362268
South Africa,20,4.7129011774410534e-4
South Africa,21,-0.023358470019276087
South Africa,22,0.012406078204301216
South Africa,23,-0.0024963331761318486
South America Cluster,1,0.016461226815748187
South America Cluster,2,0.004308862609179009
South America Cluster,3,-0.010373739339818833
South America Cluster,4,-0.007358768624832923
South America Cluster,5,0.0017514929763765008
South America Cluster,6,1.6380722753261967e-4
South America Cluster,7,0.0057260555438090055
South America Cluster,8,0.004199505250244373
South America Cluster,9,0.005361319599357886
South America Cluster,10,-0.0051583565571562545
South America Cluster,11,-0.013468918103571662
South America Cluster,12,-0.008467817219379873
South America Cluster,13,-0.015347117954003418
South America Cluster,14,-0.013569188785641756
South America Cluster,15,-0.01182207292872639
South America Cluster,16,0.005122312312290461
South America Cluster,17,0.02142885756317167
South America Cluster,18,0.015679160999759606
South America Cluster,19,0.015945058652585747
South America Cluster,20,0.0159308017248172
South America Cluster,21,-0.012873255736507355
South America Cluster,22,-0.004491000133154344
South America Cluster,23,0.0017616898011844628
South-eastern Asia,1,-0.013301928191916779
South-eastern Asia,2,-0.010155946856019282
South-eastern Asia,3,0.0023836696646423183
South-eastern Asia,4,0.018737484651671743
South-eastern Asia,5,9.904066115309917e-4
South-eastern Asia,6,-0.002090745110251313
South-eastern Asia,7,0.012352951875183593
South-eastern Asia,8,0.010669154393648766
South-eastern Asia,9,-0.005644894573881981
South-eastern Asia,10,-0.004945383255785113
South-eastern Asia,11,-0.004378004706263733
South-eastern Asia,12,-2.1139074531423968e-4
South-eastern Asia,13,-0.011758813382786833
South-eastern Asia,14,-0.005109101238627026
South-eastern Asia,15,0.005954031698435586
South-eastern Asia,16,0.002517678573679738
South-eastern Asia,17,0.0017502877110664172
South-eastern Asia,18,0.0020301200450601464
South-eastern Asia,19,0.003401082577863035
South-eastern Asia,20,0.007472063147208552
South-eastern Asia,21,0.004900375969617454
South-eastern Asia,22,-0.006347337337439474
South-eastern Asia,23,-0.008292162249261548
Southern Africa Cluster,1,0.0046795723971910785
Southern Africa Cluster,2,-0.04112826651895718
Southern Africa Cluster,3,-0.00292143742647083
Southern Africa Cluster,4,-0.007567239129417591
