rho1,rho,rss,convergence,r,method
0,-1,0.00940762396793222,TRUE,Central America,L-BFGS-B
1,-1,0.009079124033633378,TRUE,Central America,L-BFGS-B
-1,0,0.009566934894029176,TRUE,Central America,L-BFGS-B
0,0,0.009160241873752925,TRUE,Central America,L-BFGS-B
1,0,0.008870658671136074,TRUE,Central America,L-BFGS-B
-1,1,0.009344418899312928,TRUE,Central America,L-BFGS-B
0,1,0.008975620384656501,TRUE,Central America,L-BFGS-B
1,1,0.008724895604676956,TRUE,Central America,L-BFGS-B
-1,-1,0.023891064264025003,TRUE,Central Asia Extended,LM
0,-1,0.023058120312660895,TRUE,Central Asia Extended,LM
1,-1,0.012272389608460348,FALSE,Central Asia Extended,LM
-1,0,0.028509513569124983,TRUE,Central Asia Extended,LM
0,0,0.040708273431282825,FALSE,Central Asia Extended,LM
1,0,0.01226917278795605,FALSE,Central Asia Extended,LM
-1,1,0.021980250356767032,FALSE,Central Asia Extended,LM
0,1,0.003187672909762363,FALSE,Central Asia Extended,LM
1,1,0.012264387017697812,FALSE,Central Asia Extended,LM
-1,-1,0.1712159761908775,TRUE,Central Asia Extended,NM
0,-1,0.06725716221213157,TRUE,Central Asia Extended,NM
1,-1,0.03651302265343471,TRUE,Central Asia Extended,NM
-1,0,0.07727178489683992,TRUE,Central Asia Extended,NM
0,0,0.06636030207615522,TRUE,Central Asia Extended,NM
1,0,0.04341202652413251,TRUE,Central Asia Extended,NM
-1,1,0.04392562578577221,TRUE,Central Asia Extended,NM
0,1,0.04148837642539,TRUE,Central Asia Extended,NM
1,1,0.05918083806345039,TRUE,Central Asia Extended,NM
-1,-1,0.1712159761908775,TRUE,Central Asia Extended,Nelder-Mead
0,-1,0.06725716221213157,TRUE,Central Asia Extended,Nelder-Mead
1,-1,0.03651302265343471,TRUE,Central Asia Extended,Nelder-Mead
-1,0,0.07727178489683992,TRUE,Central Asia Extended,Nelder-Mead
0,0,0.06636030207615522,TRUE,Central Asia Extended,Nelder-Mead
1,0,0.04341202652413251,TRUE,Central Asia Extended,Nelder-Mead
-1,1,0.04392562578577221,TRUE,Central Asia Extended,Nelder-Mead
0,1,0.04148837642539,TRUE,Central Asia Extended,Nelder-Mead
1,1,0.05918083806345039,TRUE,Central Asia Extended,Nelder-Mead
-1,-1,0.317871257838978,TRUE,Central Asia Extended,BFGS
0,-1,0.2199022996481727,TRUE,Central Asia Extended,BFGS
1,-1,0.15345766252850074,TRUE,Central Asia Extended,BFGS
