t,r,P,Y,C,K,L,E
2007,Peninsular West Asia,162.6,3.54042,0.95397,0.294,52.213567,13139
2007,Republic of Korea,48.2,1.68067,0.7571,0.357,24.44466,4906
2007,Russia,143.9,4.65978,0.82547,0.271,75.443782,16465
2007,South Africa,50.5,0.70909,0.24184,0.054,21.085707,2587
2007,South America Cluster,133.8,1.2424,0.38339,0.096,62.645031,3668
2007,South-eastern Asia,604.5,5.24453,1.1278,0.436,294.593148,13703
2007,Southern Africa Cluster,7,0.06422,0.01496,0.004,2.649771,188
2007,Southern Asia Cluster,406.7,1.63252,0.33877,0.074,132.500197,4194
2007,Switzerland,7.5,0.56055,0.3891,0.166,4.307426,810
2007,Tropical Pacific Islands,10,0.03728,0.00262,5.00E-04,3.517007,197
2007,United Kingdom,61.5,3.03381,2.25851,0.475,31.168545,5812
2007,United States,301.8,18.4675,13.5325,3.321,156.588966,61799
2007,Western Africa,294.8,1.12102,0.10792,0.033,123.111527,2678
2008,Argentina,40.4,1.11807,0.40881,0.088,18.041663,2283
2008,Australia and New Zealand,25.6,1.28947,0.96958,0.337,13.527925,3529
2008,Brazil,190.4,3.25783,1.25027,0.297,95.054971,5935
2008,Canada,33.4,1.78577,1.07311,0.348,18.579576,7226
2008,Caribbean Extended,41,0.30268,0.14841,0.029,15.144609,1060
2008,Central America,41.8,0.42903,0.153,0.041,16.449459,924
2008,Central Asia Extended,80.4,0.89524,0.13241,0.044,35.120161,4969
2008,Chile,16.8,0.39588,0.12971,0.05,7.64825,903
2008,China,1364.5,12.0179,3.55235,0.066,773.736767,54090
2008,Eastern Africa,326.1,0.63168,0.13774,0.029,134.989794,4177
2008,EU27,438.5,20.4859,9.92845,2.954,210.306632,42571
2008,India,1207.9,5.37576,0.94001,0.387,462.536166,17039
2008,Japan,128.2,5.33326,3.14758,1.093,66.611354,11960
2008,Levant,116,2.01444,0.71267,0.221,37.849558,4297
2008,Mexico,110.4,2.31704,0.87534,0.259,46.418411,4688
2008,Middle Africa,127.6,0.49886,0.10191,0.043,49.977345,1605
2008,Non-EU Europe,75.4,1.83301,0.44051,0.167,39.258757,5730
2008,Northern Africa,203.1,2.23115,0.43503,0.133,63.839195,4412
2008,Peninsular West Asia,167,3.69983,1.00788,0.339,53.105505,14034
2008,Republic of Korea,48.4,1.73131,0.77432,0.354,24.606329,4895
2008,Russia,143.8,4.90209,0.89646,0.3,75.991554,16777
2008,South Africa,51.1,0.73172,0.2482,0.061,21.383032,2684
2008,South America Cluster,135.4,1.31207,0.40645,0.106,63.878444,3806
2008,South-eastern Asia,612.8,5.48331,1.18927,0.47,300.409903,14358
2008,Southern Africa Cluster,7.1,0.06609,0.01647,0.005,2.704876,190
2008,Southern Asia Cluster,414.1,1.69898,0.34805,0.079,135.742766,4178
2008,Switzerland,7.6,0.57629,0.39576,0.167,4.411012,839
2008,Tropical Pacific Islands,10.3,0.03745,0.00263,6.00E-04,3.510196,189
2008,United Kingdom,62,3.02626,2.25783,0.46,31.570084,5829
2008,United States,305,18.4884,13.6103,3.118,158.272885,60887
2008,Western Africa,303.2,1.19282,0.11384,0.036,126.2595,2794
2009,Argentina,40.9,1.0519,0.39295,0.068,18.399678,2174
2009,Australia and New Zealand,26.1,1.31046,0.98126,0.339,13.786883,3515
2009,Brazil,192.1,3.25373,1.30145,0.29,96.857149,5747
2009,Canada,33.8,1.73371,1.08148,0.308,18.747581,6938
2009,Caribbean Extended,41.3,0.30108,0.15044,0.025,15.294539,1023
2009,Central America,42.5,0.42693,0.15376,0.035,16.808035,963
2009,Central Asia Extended,81.5,0.92327,0.13454,0.045,35.739308,4212
2009,Chile,17,0.39146,0.13116,0.044,7.744258,901
2009,China,1373.3,13.0983,3.89169,0.061,776.116842,55838
2009,Eastern Africa,335.5,0.66691,0.15051,0.031,138.960581,4297
2009,EU27,439.7,19.6148,9.92188,2.619,210.112036,40677
2009,India,1225.5,5.7984,1.00053,0.417,464.961693,18104
2009,Japan,128.2,5.02962,3.14096,0.983,66.339021,11520
2009,Levant,117.7,1.97509,0.71505,0.191,39.096813,4217
2009,Mexico,112,2.17118,0.82491,0.228,47.339853,4435
2009,Middle Africa,131.6,0.50897,0.10824,0.047,50.992852,1659
2009,Non-EU Europe,75,1.68293,0.42837,0.138,39.132527,5113
2009,Northern Africa,207,2.2877,0.45947,0.132,65.395834,4564
2009,Peninsular West Asia,171.6,3.69558,0.99586,0.327,55.524333,14904
2009,Republic of Korea,48.5,1.74503,0.78652,0.356,24.664943,4878
2009,Russia,143.9,4.51973,0.8615,0.257,76.024652,15685
2009,South Africa,51.7,0.72046,0.24425,0.057,21.120517,2788
2009,South America Cluster,137,1.33014,0.41888,0.106,65.722598,3917
2009,South-eastern Asia,620.8,5.61665,1.23177,0.474,305.929693,14556
2009,Southern Africa Cluster,7.2,0.0618,0.01776,0.005,2.759653,193
2009,Southern Asia Cluster,421.7,1.77774,0.35639,0.08,139.474055,4276
2009,Switzerland,7.7,0.56305,0.40323,0.155,4.48056,822
2009,Tropical Pacific Islands,10.5,0.0389,0.0033,8.00E-04,3.495622,190
2009,United Kingdom,62.5,2.88643,2.21578,0.403,31.721347,5440
2009,United States,308,18.0121,13.5785,2.612,158.353162,58053
2009,Western Africa,311.7,1.26827,0.11741,0.032,129.48713,2804
2010,Argentina,41.3,1.15841,0.43351,0.086,18.468692,2291
2010,Australia and New Zealand,26.5,1.3382,1.01,0.345,14.000896,3560
2010,Brazil,193.7,3.49868,1.37529,0.342,96.467543,6303
