r,t,fitted
China,22,1.7937959563560617
China,23,2.0117050124862352
Eastern Africa,1,0.846648659980295
Eastern Africa,2,0.8584466569034251
Eastern Africa,3,0.8667820873000004
Eastern Africa,4,0.8876195466166789
Eastern Africa,5,0.9081739916279065
Eastern Africa,6,0.9339009587850453
Eastern Africa,7,0.9656068763239096
Eastern Africa,8,0.9934875488237228
Eastern Africa,9,1.0087063549707616
Eastern Africa,10,0.9717146560313005
Eastern Africa,11,0.9858860573610634
Eastern Africa,12,0.9902984808480445
Eastern Africa,13,0.9948782642307515
Eastern Africa,14,0.9965186314229152
Eastern Africa,15,1.0037140581692985
Eastern Africa,16,1.0293903373684792
Eastern Africa,17,1.0509684405966897
Eastern Africa,18,1.0766796171219046
Eastern Africa,19,1.0998682435198301
Eastern Africa,20,1.1322892673073908
Eastern Africa,21,1.0974780672530373
Eastern Africa,22,1.1382170854418698
Eastern Africa,23,1.1616885551520981
EU27,1,0.517521263828654
EU27,2,0.5425158963449868
EU27,3,0.5626306176357179
EU27,4,0.5888348836875436
EU27,5,0.6180640877850722
EU27,6,0.6525861631803471
EU27,7,0.694444016945589
EU27,8,0.7323454294408869
EU27,9,0.774963569611015
EU27,10,0.810735831490464
EU27,11,0.856452918252011
EU27,12,0.951031088812555
EU27,13,1.019074238307388
EU27,14,1.0767469976918906
EU27,15,1.1400733895221369
EU27,16,1.243481820204189
EU27,17,1.2655023845813116
EU27,18,1.3334476014852183
EU27,19,1.387888953659084
EU27,20,1.4699116053193062
EU27,21,1.5024486295128674
EU27,22,1.5793355429130767
EU27,23,1.6700531050256655
India,1,0.4562634298685603
India,2,0.4917458145005265
India,3,0.5120112292772002
India,4,0.539462999346628
India,5,0.5764079096133808
India,6,0.6255838440539085
India,7,0.677112816193341
India,8,0.737867040066701
India,9,0.7953718176655334
India,10,0.8463068696942706
India,11,0.8779205469437069
India,12,0.930626260507853
India,13,0.9722081841916986
India,14,1.0542466575760432
India,15,1.126836501754567
India,16,1.2318895737221875
India,17,1.299661376262634
India,18,1.3776737277489397
India,19,1.4625349650579478
India,20,1.5145918903388922
India,21,1.483598278926765
India,22,1.6257022768401015
India,23,1.7789108934169933
Japan,1,0.9230599018314963
Japan,2,0.9292649275352032
Japan,3,0.939563922582492
Japan,4,0.945133290575591
Japan,5,0.9664608056487873
Japan,6,0.9919255829518401
Japan,7,1.0021473529697251
Japan,8,1.0064981437680778
Japan,9,0.9792181921688188
Japan,10,0.9458474575934371
Japan,11,0.9719640501567208
Japan,12,0.9845382812141065
Japan,13,0.997715152520439
Japan,14,1.021322771062483
Japan,15,1.0240901068637205
Japan,16,1.0318129507422231
Japan,17,1.0380513723008318
Japan,18,1.059972818372826
Japan,19,1.0579585303985306
Japan,20,1.057404429546914
Japan,21,1.0276943114872628
Japan,22,1.0477789294476836
Japan,23,1.0500341643384274
Levant,1,0.6119168705602263
Levant,2,0.5849910690575695
Levant,3,0.6202625336251018
Levant,4,0.6582311041936508
Levant,5,0.7075287035910591
Levant,6,0.7519209741632491
Levant,7,0.8042931928592667
Levant,8,0.8493185637374335
Levant,9,0.8678342420049269
Levant,10,0.8569444168195693
Levant,11,0.9224617623807166
Levant,12,0.9944283089930197
Levant,13,1.0244285155844117
Levant,14,1.0643174077344055
Levant,15,1.100630174316703
Levant,16,1.1667618912037578
Levant,17,1.210157014105727
Levant,18,1.2882664633069012
Levant,19,1.3205045758888094
Levant,20,1.3278610767057488
Levant,21,1.346388324959365
Levant,22,1.4299414134028892
Levant,23,1.4832169805172724
Mexico,1,0.8437636217634115
Mexico,2,0.8359331882035079
Mexico,3,0.8419427621367346
Mexico,4,0.8509047587367343
Mexico,5,0.8772556181883235
Mexico,6,0.8962329498763733
Mexico,7,0.9266517976120991
Mexico,8,0.9525450232546587
Mexico,9,0.976853406686734
Mexico,10,0.959064764139108
Mexico,11,0.9862229151018688
Mexico,12,1.0173324430675486
Mexico,13,1.0366788131930367
Mexico,14,1.039897905645674
Mexico,15,1.0623258000700926
Mexico,16,1.0863628805349805
Mexico,17,1.1016819435841452
Mexico,18,1.114739594313387
Mexico,19,1.1329906942964938
Mexico,20,1.127202179847853
Mexico,21,1.0527233963248097
Mexico,22,1.1145357655053636
Mexico,23,1.1625960983177677
Middle Africa,1,0.5116427065981712
Middle Africa,2,0.5285357696113986
Middle Africa,3,0.6253035250153834
Middle Africa,4,0.6643237638563739
Middle Africa,5,0.7127567319494693
Middle Africa,6,0.7555546052336065
Middle Africa,7,0.7996425566593417
Middle Africa,8,0.8431990355462338
Middle Africa,9,0.9194640621088584
Middle Africa,10,0.9758021479072638
Middle Africa,11,1.0006763354534136
Middle Africa,12,1.0833158745515201
Middle Africa,13,1.0900663440787748
Middle Africa,14,1.1518475290773404
Middle Africa,15,1.2137775994028701
Middle Africa,16,1.2060611139143167
Middle Africa,17,1.15519175388503
Middle Africa,18,1.1692696938263276
Middle Africa,19,1.2274430805269598
Middle Africa,20,1.244842846910157
Middle Africa,21,1.2641587480955845
Middle Africa,22,1.3666223063085365
Middle Africa,23,1.476020252504818
Non-EU Europe,1,0.7070766216713052
Non-EU Europe,2,0.7497823761872683
Non-EU Europe,3,0.7630914697285036
Non-EU Europe,4,0.8417849327185423
Non-EU Europe,5,0.8959881422297316
Non-EU Europe,6,0.9509806751968317
Non-EU Europe,7,1.0076248213456787
Non-EU Europe,8,1.0423914474898572
Non-EU Europe,9,1.079342665619458
Non-EU Europe,10,0.9876894177163642
Non-EU Europe,11,1.0525291509780121
